Readout,NGROUP,NINT,tint,NEXP,texp
nrsirs2rapid,1,1,14.589,4,58.356
nrsirs2rapid,2,1,14.589,4,116.712
nrsirs2rapid,3,1,14.589,4,175.068
nrsirs2rapid,4,1,14.589,4,233.424
nrsirs2rapid,5,1,14.589,4,291.78
nrsirs2rapid,6,1,14.589,4,350.136
nrsirs2rapid,7,1,14.589,4,408.492
nrsirs2rapid,8,1,14.589,4,466.848
nrsirs2rapid,9,1,14.589,4,525.204
nrsirs2rapid,10,1,14.589,4,583.56
nrsirs2rapid,11,1,14.589,4,641.916
nrsirs2rapid,12,1,14.589,4,700.272
nrsirs2rapid,13,1,14.589,4,758.628
nrsirs2rapid,14,1,14.589,4,816.984
nrsirs2rapid,15,1,14.589,4,875.34
nrsirs2rapid,16,1,14.589,4,933.696
nrsirs2rapid,17,1,14.589,4,992.052
nrsirs2rapid,18,1,14.589,4,1050.408
nrsirs2rapid,19,1,14.589,4,1108.764
nrsirs2rapid,20,1,14.589,4,1167.12
nrsirs2rapid,21,1,14.589,4,1225.476
nrsirs2rapid,22,1,14.589,4,1283.832
nrsirs2rapid,23,1,14.589,4,1342.188
nrsirs2rapid,24,1,14.589,4,1400.544
nrsirs2rapid,25,1,14.589,4,1458.9
nrsirs2rapid,26,1,14.589,4,1517.256
nrsirs2rapid,27,1,14.589,4,1575.612
nrsirs2rapid,28,1,14.589,4,1633.968
nrsirs2rapid,29,1,14.589,4,1692.324
nrsirs2rapid,30,1,14.589,4,1750.68
nrsirs2rapid,31,1,14.589,4,1809.036
nrsirs2rapid,32,1,14.589,4,1867.392
nrsirs2rapid,33,1,14.589,4,1925.748
nrsirs2rapid,34,1,14.589,4,1984.104
nrsirs2rapid,35,1,14.589,4,2042.46
nrsirs2rapid,36,1,14.589,4,2100.816
nrsirs2rapid,37,1,14.589,4,2159.172
nrsirs2rapid,38,1,14.589,4,2217.528
nrsirs2rapid,39,1,14.589,4,2275.884
nrsirs2rapid,40,1,14.589,4,2334.24
nrsirs2rapid,41,1,14.589,4,2392.596
nrsirs2rapid,42,1,14.589,4,2450.952
nrsirs2rapid,43,1,14.589,4,2509.308
nrsirs2rapid,44,1,14.589,4,2567.664
nrsirs2rapid,45,1,14.589,4,2626.02
nrsirs2rapid,46,1,14.589,4,2684.376
nrsirs2rapid,47,1,14.589,4,2742.732
nrsirs2rapid,48,1,14.589,4,2801.088
nrsirs2rapid,49,1,14.589,4,2859.444
nrsirs2rapid,50,1,14.589,4,2917.8
nrsirs2rapid,51,1,14.589,4,2976.156
nrsirs2rapid,52,1,14.589,4,3034.512
nrsirs2rapid,53,1,14.589,4,3092.868
nrsirs2rapid,54,1,14.589,4,3151.224
nrsirs2rapid,55,1,14.589,4,3209.58
nrsirs2rapid,56,1,14.589,4,3267.936
nrsirs2rapid,57,1,14.589,4,3326.292
nrsirs2rapid,58,1,14.589,4,3384.648
nrsirs2rapid,59,1,14.589,4,3443.004
nrsirs2rapid,60,1,14.589,4,3501.36
nrsirs2rapid,61,1,14.589,4,3559.716
nrsirs2rapid,62,1,14.589,4,3618.072
nrsirs2rapid,63,1,14.589,4,3676.428
nrsirs2rapid,64,1,14.589,4,3734.784
nrsirs2rapid,65,1,14.589,4,3793.14
nrsirs2rapid,66,1,14.589,4,3851.496
nrsirs2rapid,67,1,14.589,4,3909.852
nrsirs2rapid,68,1,14.589,4,3968.208
nrsirs2rapid,69,1,14.589,4,4026.564
nrsirs2rapid,70,1,14.589,4,4084.92
nrsirs2rapid,71,1,14.589,4,4143.276
nrsirs2rapid,72,1,14.589,4,4201.632
nrsirs2rapid,73,1,14.589,4,4259.988
nrsirs2rapid,74,1,14.589,4,4318.344
nrsirs2rapid,75,1,14.589,4,4376.7
nrsirs2rapid,76,1,14.589,4,4435.056
nrsirs2rapid,77,1,14.589,4,4493.412
nrsirs2rapid,78,1,14.589,4,4551.768
nrsirs2rapid,79,1,14.589,4,4610.124
nrsirs2rapid,80,1,14.589,4,4668.48
nrsirs2rapid,81,1,14.589,4,4726.836
nrsirs2rapid,82,1,14.589,4,4785.192
nrsirs2rapid,83,1,14.589,4,4843.548
nrsirs2rapid,84,1,14.589,4,4901.904
nrsirs2rapid,85,1,14.589,4,4960.26
nrsirs2rapid,86,1,14.589,4,5018.616
nrsirs2rapid,87,1,14.589,4,5076.972
nrsirs2rapid,88,1,14.589,4,5135.328
nrsirs2rapid,89,1,14.589,4,5193.684
nrsirs2rapid,90,1,14.589,4,5252.04
nrsirs2rapid,91,1,14.589,4,5310.396
nrsirs2rapid,92,1,14.589,4,5368.752
nrsirs2rapid,93,1,14.589,4,5427.108
nrsirs2rapid,94,1,14.589,4,5485.464
nrsirs2rapid,95,1,14.589,4,5543.82
nrsirs2rapid,96,1,14.589,4,5602.176
nrsirs2rapid,97,1,14.589,4,5660.532
nrsirs2rapid,98,1,14.589,4,5718.888
nrsirs2rapid,99,1,14.589,4,5777.244
nrsirs2rapid,100,1,14.589,4,5835.6
nrsirs2rapid,101,1,14.589,4,5893.956
nrsirs2rapid,102,1,14.589,4,5952.312
nrsirs2rapid,103,1,14.589,4,6010.668
nrsirs2rapid,104,1,14.589,4,6069.024
nrsirs2rapid,105,1,14.589,4,6127.38
nrsirs2rapid,106,1,14.589,4,6185.736
nrsirs2rapid,107,1,14.589,4,6244.092
nrsirs2rapid,108,1,14.589,4,6302.448
nrsirs2rapid,109,1,14.589,4,6360.804
nrsirs2rapid,110,1,14.589,4,6419.16
nrsirs2rapid,111,1,14.589,4,6477.516
nrsirs2rapid,112,1,14.589,4,6535.872
nrsirs2rapid,113,1,14.589,4,6594.228
nrsirs2rapid,114,1,14.589,4,6652.584
nrsirs2rapid,115,1,14.589,4,6710.94
nrsirs2rapid,116,1,14.589,4,6769.296
nrsirs2rapid,117,1,14.589,4,6827.652
nrsirs2rapid,118,1,14.589,4,6886.008
nrsirs2rapid,119,1,14.589,4,6944.364
nrsirs2rapid,120,1,14.589,4,7002.72
nrsirs2rapid,121,1,14.589,4,7061.076
nrsirs2rapid,122,1,14.589,4,7119.432
nrsirs2rapid,123,1,14.589,4,7177.788
nrsirs2rapid,124,1,14.589,4,7236.144
nrsirs2rapid,125,1,14.589,4,7294.5
nrsirs2rapid,126,1,14.589,4,7352.856
nrsirs2rapid,127,1,14.589,4,7411.212
nrsirs2rapid,128,1,14.589,4,7469.568
nrsirs2rapid,129,1,14.589,4,7527.924
nrsirs2rapid,130,1,14.589,4,7586.28
nrsirs2rapid,131,1,14.589,4,7644.636
nrsirs2rapid,132,1,14.589,4,7702.992
nrsirs2rapid,133,1,14.589,4,7761.348
nrsirs2rapid,134,1,14.589,4,7819.704
nrsirs2rapid,135,1,14.589,4,7878.06
nrsirs2rapid,136,1,14.589,4,7936.416
nrsirs2rapid,137,1,14.589,4,7994.772
nrsirs2rapid,138,1,14.589,4,8053.128
nrsirs2rapid,139,1,14.589,4,8111.484
nrsirs2rapid,140,1,14.589,4,8169.84
nrsirs2rapid,141,1,14.589,4,8228.196
nrsirs2rapid,142,1,14.589,4,8286.552
nrsirs2rapid,143,1,14.589,4,8344.908
nrsirs2rapid,144,1,14.589,4,8403.264
nrsirs2rapid,145,1,14.589,4,8461.62
nrsirs2rapid,146,1,14.589,4,8519.976
nrsirs2rapid,147,1,14.589,4,8578.332
nrsirs2rapid,148,1,14.589,4,8636.688
nrsirs2rapid,149,1,14.589,4,8695.044
nrsirs2rapid,150,1,14.589,4,8753.4
nrsirs2rapid,151,1,14.589,4,8811.756
nrsirs2rapid,152,1,14.589,4,8870.112
nrsirs2rapid,153,1,14.589,4,8928.468
nrsirs2rapid,154,1,14.589,4,8986.824
nrsirs2rapid,155,1,14.589,4,9045.18
nrsirs2rapid,156,1,14.589,4,9103.536
nrsirs2rapid,157,1,14.589,4,9161.892
nrsirs2rapid,158,1,14.589,4,9220.248
nrsirs2rapid,159,1,14.589,4,9278.604
nrsirs2rapid,160,1,14.589,4,9336.96
nrsirs2rapid,161,1,14.589,4,9395.316
nrsirs2rapid,162,1,14.589,4,9453.672
nrsirs2rapid,163,1,14.589,4,9512.028
nrsirs2rapid,164,1,14.589,4,9570.384
nrsirs2rapid,165,1,14.589,4,9628.74
nrsirs2rapid,166,1,14.589,4,9687.096
nrsirs2rapid,167,1,14.589,4,9745.452
nrsirs2rapid,168,1,14.589,4,9803.808
nrsirs2rapid,169,1,14.589,4,9862.164
nrsirs2rapid,170,1,14.589,4,9920.52